SCRUB_DC_NO,YEAR,WEEK,SCRUB_CATEGORY_NO
3,2021,37,221
3,2021,37,222
3,2021,37,223
3,2021,37,224
3,2021,37,225
3,2021,37,226
3,2021,37,227
3,2021,37,228
3,2021,37,229
3,2021,37,230
3,2021,37,231
3,2021,37,232
3,2021,37,233
3,2021,37,234
3,2021,37,235
3,2021,37,236
3,2021,37,237
3,2021,37,238
3,2021,37,239
3,2021,37,240
3,2021,37,241
3,2021,37,242
3,2021,37,243
3,2021,37,244
3,2021,37,245
3,2021,37,246
3,2021,37,247
3,2021,37,248
3,2021,37,249
3,2021,37,250
3,2021,37,251
3,2021,37,252
3,2021,37,253
3,2021,37,254
3,2021,37,255
3,2021,37,256
3,2021,37,257
3,2021,37,258
3,2021,37,259
3,2021,37,260
3,2021,37,261
3,2021,37,262
3,2021,37,263
3,2021,37,264
3,2021,37,265
3,2021,37,266
3,2021,37,267
3,2021,37,268
3,2021,37,269
3,2021,37,270
3,2021,37,271
3,2021,37,273
3,2021,37,274
3,2021,37,275
3,2021,37,276
3,2021,37,277
3,2021,37,278
3,2021,37,279
3,2021,37,280
3,2021,37,281
3,2021,37,283
3,2021,37,284
3,2021,37,286
3,2021,37,287
3,2021,37,288
3,2021,37,289
3,2021,37,290
3,2021,37,291
3,2021,37,292
3,2021,37,294
3,2021,37,295
3,2021,37,296
3,2021,37,297
3,2021,37,298
3,2021,37,299
3,2021,37,300
3,2021,37,301
3,2021,37,302
3,2021,37,303
3,2021,37,304
3,2021,37,305
3,2021,37,306
3,2021,37,307
3,2021,37,308
3,2021,37,309
3,2021,37,310
3,2021,37,311
3,2021,37,312
3,2021,37,313
3,2021,37,314
3,2021,37,315
3,2021,37,316
3,2021,37,317
3,2021,37,318
3,2021,37,319
3,2021,37,320
3,2021,37,321
3,2021,37,324
3,2021,37,327
3,2021,37,329
3,2021,37,330
3,2021,37,331
3,2021,37,332
3,2021,37,333
3,2021,37,334
3,2021,37,336
3,2021,37,340
3,2021,37,341
3,2021,37,344
3,2021,37,347
3,2021,37,282
3,2021,37,343
3,2021,37,78
3,2021,37,293
3,2021,37,323
3,2021,37,342
3,2021,37,346
3,2021,37,272
3,2021,37,335
3,2021,37,285
3,2021,37,345
3,2021,37,322
3,2021,37,338
3,2021,37,325
3,2021,37,326
3,2021,37,337
3,2021,37,328
3,2021,38,1
3,2021,38,2
3,2021,38,3
3,2021,38,4
3,2021,38,5
3,2021,38,6
3,2021,38,7
3,2021,38,8
3,2021,38,9
3,2021,38,10
3,2021,38,11
3,2021,38,12
3,2021,38,13
3,2021,38,14
3,2021,38,15
3,2021,38,16
3,2021,38,17
3,2021,38,18
3,2021,38,19
3,2021,38,20
3,2021,38,21
3,2021,38,22
3,2021,38,23
3,2021,38,24
3,2021,38,25
3,2021,38,26
3,2021,38,27
3,2021,38,28
3,2021,38,29
3,2021,38,30
3,2021,38,31
3,2021,38,32
3,2021,38,33
3,2021,38,34
3,2021,38,35
3,2021,38,36
3,2021,38,37
3,2021,38,38
3,2021,38,39
3,2021,38,40
3,2021,38,41
3,2021,38,42
3,2021,38,43
3,2021,38,44
3,2021,38,45
3,2021,38,46
3,2021,38,47
3,2021,38,48
3,2021,38,49
3,2021,38,50
3,2021,38,51
3,2021,38,52
3,2021,38,53
3,2021,38,54
3,2021,38,55
3,2021,38,56
3,2021,38,57
3,2021,38,58
3,2021,38,59
3,2021,38,60
3,2021,38,61
3,2021,38,62
3,2021,38,63
3,2021,38,64
3,2021,38,65
3,2021,38,66
3,2021,38,67
3,2021,38,68
3,2021,38,69
3,2021,38,70
3,2021,38,71
3,2021,38,72
3,2021,38,73
3,2021,38,74
3,2021,38,75
3,2021,38,76
3,2021,38,77
3,2021,38,79
3,2021,38,80
3,2021,38,81
3,2021,38,82
3,2021,38,83
3,2021,38,84
3,2021,38,85
3,2021,38,86
3,2021,38,87
3,2021,38,88
3,2021,38,89
3,2021,38,90
3,2021,38,91
3,2021,38,92
3,2021,38,93
3,2021,38,94
3,2021,38,95
3,2021,38,96
3,2021,38,97
3,2021,38,98
3,2021,38,99
3,2021,38,100
3,2021,38,101
3,2021,38,102
3,2021,38,103
3,2021,38,104
3,2021,38,105
3,2021,38,106
3,2021,38,107
3,2021,38,108
3,2021,38,109
3,2021,38,110
3,2021,38,111
3,2021,38,112
3,2021,38,113
3,2021,38,114
3,2021,38,115
3,2021,38,116
3,2021,38,117
3,2021,38,118
3,2021,38,119
3,2021,38,120
3,2021,38,121
3,2021,38,122
3,2021,38,123
3,2021,38,124
3,2021,38,125
3,2021,38,126
3,2021,38,127
3,2021,38,128
3,2021,38,129
3,2021,38,130
3,2021,38,131
3,2021,38,132
3,2021,38,133
3,2021,38,134
3,2021,38,135
3,2021,38,136
3,2021,38,137
3,2021,38,138
3,2021,38,139
3,2021,38,140
3,2021,38,141
3,2021,38,142
3,2021,38,143
3,2021,38,144
3,2021,38,145
3,2021,38,146
3,2021,38,147
3,2021,38,148
3,2021,38,149
3,2021,38,150
3,2021,38,151
3,2021,38,152
3,2021,38,153
3,2021,38,154
3,2021,38,155
3,2021,38,156
3,2021,38,157
3,2021,38,158
3,2021,38,159
3,2021,38,160
3,2021,38,161
3,2021,38,162
3,2021,38,163
3,2021,38,164
3,2021,38,165
3,2021,38,166
3,2021,38,167
3,2021,38,168
3,2021,38,169
3,2021,38,170
3,2021,38,171
3,2021,38,172
3,2021,38,173
3,2021,38,174
3,2021,38,175
3,2021,38,176
3,2021,38,177
3,2021,38,178
3,2021,38,179
3,2021,38,180
3,2021,38,181
3,2021,38,182
3,2021,38,183
3,2021,38,184
3,2021,38,185
3,2021,38,186
3,2021,38,187
3,2021,38,188
3,2021,38,189
3,2021,38,190
3,2021,38,191
3,2021,38,192
3,2021,38,193
3,2021,38,194
3,2021,38,195
3,2021,38,196
3,2021,38,197
3,2021,38,198
3,2021,38,199
3,2021,38,200
3,2021,38,201
3,2021,38,202
3,2021,38,203
3,2021,38,204
3,2021,38,205
3,2021,38,206
3,2021,38,207
3,2021,38,208
3,2021,38,209
3,2021,38,210
3,2021,38,211
3,2021,38,212
3,2021,38,213
3,2021,38,214
3,2021,38,215
3,2021,38,216
3,2021,38,217
3,2021,38,218
3,2021,38,219
3,2021,38,220
3,2021,38,221
3,2021,38,222
3,2021,38,223
3,2021,38,224
3,2021,38,225
3,2021,38,226
3,2021,38,227
3,2021,38,228
3,2021,38,229
3,2021,38,230
3,2021,38,231
3,2021,38,232
3,2021,38,233
3,2021,38,234
3,2021,38,235
3,2021,38,236
3,2021,38,237
3,2021,38,238
3,2021,38,239
3,2021,38,240
3,2021,38,241
3,2021,38,242
3,2021,38,243
3,2021,38,244
3,2021,38,245
3,2021,38,246
3,2021,38,247
3,2021,38,248
3,2021,38,249
3,2021,38,250
3,2021,38,251
3,2021,38,252
3,2021,38,253
3,2021,38,254
3,2021,38,255
3,2021,38,256
3,2021,38,257
3,2021,38,258
3,2021,38,259
3,2021,38,260
3,2021,38,261
3,2021,38,262
3,2021,38,263
3,2021,38,264
3,2021,38,265
3,2021,38,266
3,2021,38,267
3,2021,38,268
3,2021,38,269
3,2021,38,270
3,2021,38,271
3,2021,38,273
3,2021,38,274
3,2021,38,275
3,2021,38,276
3,2021,38,277
3,2021,38,278
3,2021,38,279
3,2021,38,280
3,2021,38,281
3,2021,38,283
3,2021,38,284
3,2021,38,286
3,2021,38,287
3,2021,38,288
3,2021,38,289
3,2021,38,290
3,2021,38,291
3,2021,38,292
3,2021,38,294
3,2021,38,295
3,2021,38,296
3,2021,38,297
3,2021,38,298
3,2021,38,299
3,2021,38,300
3,2021,38,301
3,2021,38,302
3,2021,38,303
3,2021,38,304
3,2021,38,305
3,2021,38,306
3,2021,38,307
3,2021,38,308
3,2021,38,309
3,2021,38,310
3,2021,38,311
3,2021,38,312
3,2021,38,313
3,2021,38,314
3,2021,38,315
3,2021,38,316
3,2021,38,317
3,2021,38,318
3,2021,38,319
3,2021,38,320
3,2021,38,321
3,2021,38,324
3,2021,38,327
3,2021,38,329
3,2021,38,330
3,2021,38,331
3,2021,38,332
3,2021,38,333
3,2021,38,334
3,2021,38,336
3,2021,38,340
3,2021,38,341
3,2021,38,344
3,2021,38,347
3,2021,38,282
3,2021,38,343
3,2021,38,78
3,2021,38,293
3,2021,38,323
3,2021,38,342
3,2021,38,346
3,2021,38,272
3,2021,38,335
3,2021,38,285
3,2021,38,345
3,2021,38,322
3,2021,38,338
3,2021,38,325
3,2021,38,326
3,2021,38,337
3,2021,38,328
3,2021,39,1
3,2021,39,2
3,2021,39,3
3,2021,39,4
3,2021,39,5
3,2021,39,6
3,2021,39,7
3,2021,39,8
3,2021,39,9
3,2021,39,10
3,2021,39,11
3,2021,39,12
3,2021,39,13
3,2021,39,14
3,2021,39,15
3,2021,39,16
3,2021,39,17
3,2021,39,18
3,2021,39,19
3,2021,39,20
3,2021,39,21
3,2021,39,22
3,2021,39,23
3,2021,39,24
3,2021,39,25
3,2021,39,26
3,2021,39,27
3,2021,39,28
3,2021,39,29
3,2021,39,30
3,2021,39,31
3,2021,39,32
3,2021,39,33
3,2021,39,34
3,2021,39,35
3,2021,39,36
3,2021,39,37
3,2021,39,38
3,2021,39,39
3,2021,39,40
3,2021,39,41
3,2021,39,42
3,2021,39,43
3,2021,39,44
3,2021,39,45
3,2021,39,46
3,2021,39,47
3,2021,39,48
3,2021,39,49
3,2021,39,50
3,2021,39,51
3,2021,39,52
3,2021,39,53
3,2021,39,54
3,2021,39,55
3,2021,39,56
3,2021,39,57
3,2021,39,58
3,2021,39,59
3,2021,39,60
3,2021,39,61
3,2021,39,62
3,2021,39,63
3,2021,39,64
3,2021,39,65
3,2021,39,66
3,2021,39,67
3,2021,39,68
3,2021,39,69
3,2021,39,70
3,2021,39,71
3,2021,39,72
3,2021,39,73
3,2021,39,74
3,2021,39,75
3,2021,39,76
3,2021,39,77
3,2021,39,79
3,2021,39,80
3,2021,39,81
3,2021,39,82
3,2021,39,83
3,2021,39,84
3,2021,39,85
3,2021,39,86
3,2021,39,87
3,2021,39,88
3,2021,39,89
3,2021,39,90
3,2021,39,91
3,2021,39,92
3,2021,39,93
3,2021,39,94
3,2021,39,95
3,2021,39,96
3,2021,39,97
3,2021,39,98
3,2021,39,99
3,2021,39,100
3,2021,39,101
3,2021,39,102
3,2021,39,103
3,2021,39,104
3,2021,39,105
3,2021,39,106
3,2021,39,107
3,2021,39,108
3,2021,39,109
3,2021,39,110
3,2021,39,111
3,2021,39,112
3,2021,39,113
3,2021,39,114
3,2021,39,115
3,2021,39,116
3,2021,39,117
3,2021,39,118
3,2021,39,119
3,2021,39,120
3,2021,39,121
3,2021,39,122
3,2021,39,123
3,2021,39,124
3,2021,39,125
3,2021,39,126
3,2021,39,127
3,2021,39,128
3,2021,39,129
3,2021,39,130
3,2021,39,131
3,2021,39,132
3,2021,39,133
3,2021,39,134
3,2021,39,135
3,2021,39,136
3,2021,39,137
3,2021,39,138
3,2021,39,139
3,2021,39,140
3,2021,39,141
3,2021,39,142
3,2021,39,143
3,2021,39,144
3,2021,39,145
3,2021,39,146
3,2021,39,147
3,2021,39,148
3,2021,39,149
3,2021,39,150
3,2021,39,151
3,2021,39,152
3,2021,39,153
3,2021,39,154
3,2021,39,155
3,2021,39,156
3,2021,39,157
3,2021,39,158
3,2021,39,159
3,2021,39,160
3,2021,39,161
3,2021,39,162
3,2021,39,163
3,2021,39,164
3,2021,39,165
3,2021,39,166
3,2021,39,167
3,2021,39,168
3,2021,39,169
3,2021,39,170
3,2021,39,171
3,2021,39,172
3,2021,39,173
3,2021,39,174
3,2021,39,175
3,2021,39,176
3,2021,39,177
3,2021,39,178
3,2021,39,179
3,2021,39,180
3,2021,39,181
3,2021,39,182
3,2021,39,183
3,2021,39,184
3,2021,39,185
3,2021,39,186
3,2021,39,187
3,2021,39,188
3,2021,39,189
3,2021,39,190
3,2021,39,191
3,2021,39,192
3,2021,39,193
3,2021,39,194
3,2021,39,195
3,2021,39,196
3,2021,39,197
3,2021,39,198
3,2021,39,199
3,2021,39,200
3,2021,39,201
3,2021,39,202
3,2021,39,203
3,2021,39,204
3,2021,39,205
3,2021,39,206
3,2021,39,207
3,2021,39,208
3,2021,39,209
3,2021,39,210
3,2021,39,211
3,2021,39,212
3,2021,39,213
3,2021,39,214
3,2021,39,215
3,2021,39,216
3,2021,39,217
3,2021,39,218
3,2021,39,219
3,2021,39,220
3,2021,39,221
3,2021,39,222
3,2021,39,223
3,2021,39,224
3,2021,39,225
3,2021,39,226
3,2021,39,227
3,2021,39,228
3,2021,39,229
3,2021,39,230
3,2021,39,231
3,2021,39,232
3,2021,39,233
3,2021,39,234
3,2021,39,235
3,2021,39,236
3,2021,39,237
3,2021,39,238
3,2021,39,239
3,2021,39,240
3,2021,39,241
3,2021,39,242
3,2021,39,243
3,2021,39,244
3,2021,39,245
3,2021,39,246
3,2021,39,247
3,2021,39,248
3,2021,39,249
3,2021,39,250
3,2021,39,251
3,2021,39,252
3,2021,39,253
3,2021,39,254
3,2021,39,255
3,2021,39,256
3,2021,39,257
3,2021,39,258
3,2021,39,259
3,2021,39,260
3,2021,39,261
3,2021,39,262
3,2021,39,263
3,2021,39,264
3,2021,39,265
3,2021,39,266
3,2021,39,267
3,2021,39,268
3,2021,39,269
3,2021,39,270
3,2021,39,271
3,2021,39,273
3,2021,39,274
3,2021,39,275
3,2021,39,276
3,2021,39,277
3,2021,39,278
3,2021,39,279
3,2021,39,280
3,2021,39,281
3,2021,39,283
3,2021,39,284
3,2021,39,286
3,2021,39,287
3,2021,39,288
3,2021,39,289
3,2021,39,290
3,2021,39,291
3,2021,39,292
3,2021,39,294
3,2021,39,295
3,2021,39,296
3,2021,39,297
3,2021,39,298
3,2021,39,299
3,2021,39,300
3,2021,39,301
3,2021,39,302
3,2021,39,303
3,2021,39,304
3,2021,39,305
3,2021,39,306
3,2021,39,307
3,2021,39,308
3,2021,39,309
3,2021,39,310
3,2021,39,311
3,2021,39,312
3,2021,39,313
3,2021,39,314
3,2021,39,315
3,2021,39,316
3,2021,39,317
3,2021,39,318
3,2021,39,319
3,2021,39,320
3,2021,39,321
3,2021,39,324
3,2021,39,327
3,2021,39,329
3,2021,39,330
3,2021,39,331
3,2021,39,332
3,2021,39,333
3,2021,39,334
3,2021,39,336
3,2021,39,340
3,2021,39,341
3,2021,39,344
3,2021,39,347
3,2021,39,282
3,2021,39,343
3,2021,39,78
3,2021,39,293
3,2021,39,323
3,2021,39,342
3,2021,39,346
3,2021,39,272
3,2021,39,335
3,2021,39,285
3,2021,39,345
3,2021,39,322
3,2021,39,338
3,2021,39,325
3,2021,39,326
3,2021,39,337
3,2021,39,328
3,2021,40,1
3,2021,40,2
3,2021,40,3
3,2021,40,4
3,2021,40,5
3,2021,40,6
3,2021,40,7
3,2021,40,8
3,2021,40,9
3,2021,40,10
3,2021,40,11
3,2021,40,12
3,2021,40,13
3,2021,40,14
3,2021,40,15
3,2021,40,16
3,2021,40,17
3,2021,40,18
3,2021,40,19
3,2021,40,20
3,2021,40,21
3,2021,40,22
3,2021,40,23
3,2021,40,24
3,2021,40,25
3,2021,40,26
3,2021,40,27
3,2021,40,28
3,2021,40,29
3,2021,40,30
3,2021,40,31
3,2021,40,32
3,2021,40,33
3,2021,40,34
3,2021,40,35
3,2021,40,36
3,2021,40,37
3,2021,40,38
3,2021,40,39
3,2021,40,40
3,2021,40,41
3,2021,40,42
3,2021,40,43
3,2021,40,44
3,2021,40,45
3,2021,40,46
3,2021,40,47
3,2021,40,48
3,2021,40,49
3,2021,40,50
3,2021,40,51
3,2021,40,52
3,2021,40,53
3,2021,40,54
3,2021,40,55
3,2021,40,56
3,2021,40,57
3,2021,40,58
3,2021,40,59
3,2021,40,60
3,2021,40,61
3,2021,40,62
3,2021,40,63
3,2021,40,64
3,2021,40,65
3,2021,40,66
3,2021,40,67
3,2021,40,68
3,2021,40,69
3,2021,40,70
3,2021,40,71
3,2021,40,72
3,2021,40,73
3,2021,40,74
3,2021,40,75
3,2021,40,76
3,2021,40,77
3,2021,40,79
3,2021,40,80
3,2021,40,81
3,2021,40,82
3,2021,40,83
3,2021,40,84
3,2021,40,85
3,2021,40,86
3,2021,40,87
3,2021,40,88
3,2021,40,89
3,2021,40,90
3,2021,40,91
3,2021,40,92
3,2021,40,93
3,2021,40,94
3,2021,40,95
3,2021,40,96
3,2021,40,97
3,2021,40,98
3,2021,40,99
3,2021,40,100
3,2021,40,101
3,2021,40,102
3,2021,40,103
3,2021,40,104
3,2021,40,105
3,2021,40,106
3,2021,40,107
3,2021,40,108
3,2021,40,109
3,2021,40,110
3,2021,40,111
3,2021,40,112
3,2021,40,113
3,2021,40,114
3,2021,40,115
3,2021,40,116
3,2021,40,117
3,2021,40,118
3,2021,40,119
3,2021,40,120
3,2021,40,121
3,2021,40,122
3,2021,40,123
3,2021,40,124
3,2021,40,125
3,2021,40,126
3,2021,40,127
3,2021,40,128
3,2021,40,129
3,2021,40,130
3,2021,40,131
3,2021,40,132
3,2021,40,133
3,2021,40,134
3,2021,40,135
3,2021,40,136
3,2021,40,137
3,2021,40,138
3,2021,40,139
3,2021,40,140
3,2021,40,141
3,2021,40,142
3,2021,40,143
3,2021,40,144
3,2021,40,145
3,2021,40,146
3,2021,40,147
3,2021,40,148
3,2021,40,149
3,2021,40,150
3,2021,40,151
3,2021,40,152
3,2021,40,153
3,2021,40,154
3,2021,40,155
3,2021,40,156
3,2021,40,157
3,2021,40,158
3,2021,40,159
3,2021,40,160
3,2021,40,161
3,2021,40,162
3,2021,40,163
3,2021,40,164
3,2021,40,165
3,2021,40,166
3,2021,40,167
3,2021,40,168
3,2021,40,169
3,2021,40,170
3,2021,40,171
3,2021,40,172
3,2021,40,173
3,2021,40,174
3,2021,40,175
3,2021,40,176
3,2021,40,177
3,2021,40,178
3,2021,40,179
3,2021,40,180
3,2021,40,181
3,2021,40,182
3,2021,40,183
3,2021,40,184
3,2021,40,185
3,2021,40,186
3,2021,40,187
3,2021,40,188
3,2021,40,189
3,2021,40,190
3,2021,40,191
3,2021,40,192
3,2021,40,193
3,2021,40,194
3,2021,40,195
3,2021,40,196
3,2021,40,197
3,2021,40,198
3,2021,40,199
3,2021,40,200
3,2021,40,201
3,2021,40,202
3,2021,40,203
3,2021,40,204
3,2021,40,205
3,2021,40,206
3,2021,40,207
3,2021,40,208
3,2021,40,209
3,2021,40,210
3,2021,40,211
3,2021,40,212
3,2021,40,213
3,2021,40,214
3,2021,40,215
3,2021,40,216
3,2021,40,217
3,2021,40,218
3,2021,40,219
3,2021,40,220
3,2021,40,221
3,2021,40,222
3,2021,40,223
3,2021,40,224
3,2021,40,225
3,2021,40,226
3,2021,40,227
3,2021,40,228
3,2021,40,229
3,2021,40,230
3,2021,40,231
3,2021,40,232
3,2021,40,233
3,2021,40,234
3,2021,40,235
3,2021,40,236
3,2021,40,237
3,2021,40,238
3,2021,40,239
3,2021,40,240
3,2021,40,241
3,2021,40,242
3,2021,40,243
3,2021,40,244
3,2021,40,245
3,2021,40,246
3,2021,40,247
3,2021,40,248
3,2021,40,249
3,2021,40,250
3,2021,40,251
3,2021,40,252
3,2021,40,253
3,2021,40,254
3,2021,40,255
3,2021,40,256
3,2021,40,257
3,2021,40,258
3,2021,40,259
3,2021,40,260
3,2021,40,261
3,2021,40,262
3,2021,40,263
3,2021,40,264
3,2021,40,265
3,2021,40,266
3,2021,40,267
3,2021,40,268
3,2021,40,269
3,2021,40,270
3,2021,40,271
3,2021,40,273
3,2021,40,274
3,2021,40,275
3,2021,40,276
3,2021,40,277
3,2021,40,278
3,2021,40,279
3,2021,40,280
3,2021,40,281
3,2021,40,283
3,2021,40,284
3,2021,40,286
3,2021,40,287
3,2021,40,288
3,2021,40,289
3,2021,40,290
3,2021,40,291
3,2021,40,292
3,2021,40,294
3,2021,40,295
3,2021,40,296
3,2021,40,297
3,2021,40,298
3,2021,40,299
3,2021,40,300
3,2021,40,301
3,2021,40,302
3,2021,40,303
3,2021,40,304
3,2021,40,305
3,2021,40,306
3,2021,40,307
3,2021,40,308
3,2021,40,309
3,2021,40,310
3,2021,40,311
3,2021,40,312
3,2021,40,313
3,2021,40,314
3,2021,40,315
3,2021,40,316
3,2021,40,317
3,2021,40,318
3,2021,40,319
3,2021,40,320
3,2021,40,321
3,2021,40,324
3,2021,40,327
3,2021,40,329
3,2021,40,330
3,2021,40,331
3,2021,40,332
3,2021,40,333
3,2021,40,334
3,2021,40,336
3,2021,40,340
3,2021,40,341
3,2021,40,344
3,2021,40,347
3,2021,40,282
3,2021,40,343
3,2021,40,78
3,2021,40,293
3,2021,40,323
3,2021,40,342
3,2021,40,346
3,2021,40,272
3,2021,40,335
3,2021,40,285
3,2021,40,345
3,2021,40,322
3,2021,40,338
3,2021,40,325
3,2021,40,326
3,2021,40,337
3,2021,40,328
3,2021,41,1
3,2021,41,2
3,2021,41,3
3,2021,41,4
3,2021,41,5
3,2021,41,6
3,2021,41,7
3,2021,41,8
3,2021,41,9
3,2021,41,10
3,2021,41,11
3,2021,41,12
3,2021,41,13
3,2021,41,14
3,2021,41,15
3,2021,41,16
3,2021,41,17
3,2021,41,18
3,2021,41,19
3,2021,41,20
3,2021,41,21
3,2021,41,22
3,2021,41,23
3,2021,41,24
3,2021,41,25
3,2021,41,26
3,2021,41,27
3,2021,41,28
3,2021,41,29
3,2021,41,30
3,2021,41,31
3,2021,41,32
3,2021,41,33
3,2021,41,34
3,2021,41,35
3,2021,41,36
3,2021,41,37
3,2021,41,38
3,2021,41,39
3,2021,41,40
3,2021,41,41
3,2021,41,42
3,2021,41,43
3,2021,41,44
3,2021,41,45
3,2021,41,46
3,2021,41,47
3,2021,41,48
3,2021,41,49
3,2021,41,50
3,2021,41,51
3,2021,41,52
3,2021,41,53
3,2021,41,54
3,2021,41,55
3,2021,41,56
3,2021,41,57
3,2021,41,58
3,2021,41,59
3,2021,41,60
3,2021,41,61
3,2021,41,62
3,2021,41,63
3,2021,41,64
3,2021,41,65
3,2021,41,66
3,2021,41,67
3,2021,41,68
3,2021,41,69
3,2021,41,70
3,2021,41,71
3,2021,41,72
3,2021,41,73
3,2021,41,74
3,2021,41,75
3,2021,41,76
3,2021,41,77
3,2021,41,79
3,2021,41,80
3,2021,41,81
3,2021,41,82
3,2021,41,83
3,2021,41,84
3,2021,41,85
3,2021,41,86
3,2021,41,87
3,2021,41,88
3,2021,41,89
3,2021,41,90
3,2021,41,91
3,2021,41,92
3,2021,41,93
3,2021,41,94
3,2021,41,95
3,2021,41,96
3,2021,41,97
3,2021,41,98
3,2021,41,99
3,2021,41,100
3,2021,41,101
3,2021,41,102
3,2021,41,103
3,2021,41,104
3,2021,41,105
3,2021,41,106
3,2021,41,107
3,2021,41,108
3,2021,41,109
3,2021,41,110
3,2021,41,111
3,2021,41,112
3,2021,41,113
3,2021,41,114
3,2021,41,115
3,2021,41,116
3,2021,41,117
3,2021,41,118
3,2021,41,119
3,2021,41,120
3,2021,41,121
3,2021,41,122
3,2021,41,123
3,2021,41,124
3,2021,41,125
3,2021,41,126
3,2021,41,127
3,2021,41,128
3,2021,41,129
3,2021,41,130
3,2021,41,131
3,2021,41,132
3,2021,41,133
3,2021,41,134
3,2021,41,135
3,2021,41,136
3,2021,41,137
3,2021,41,138
3,2021,41,139
3,2021,41,140
3,2021,41,141
3,2021,41,142
3,2021,41,143
3,2021,41,144
3,2021,41,145
3,2021,41,146
3,2021,41,147
3,2021,41,148
3,2021,41,149
3,2021,41,150
3,2021,41,151
3,2021,41,152
3,2021,41,153
3,2021,41,154
3,2021,41,155
3,2021,41,156
3,2021,41,157
3,2021,41,158
3,2021,41,159
3,2021,41,160
3,2021,41,161
3,2021,41,162
3,2021,41,163
3,2021,41,164
